Sample in Buffer,Sample in Window,TRIGGER,top_i/PolarityShift_0_doubleOut[1:0],top_i/dds_compiler_1_m_axis_data_tdata[15:0],top_i/mult_gen_1_P[18:0]
19293,19293,0,1,-8190,-8190
19294,19294,0,1,-6,-6
19295,19295,0,1,8190,8190
19296,19296,0,1,6,6
19297,19297,0,1,-8190,-8190
19298,19298,0,1,6,-6
19299,19299,0,1,8190,8190
19300,19300,0,1,6,6
19301,19301,0,1,-8190,-8190
19302,19302,0,1,6,6
19303,19303,0,1,8190,8190
19304,19304,0,1,-6,6
19305,19305,0,1,-8190,-8190
19306,19306,0,1,-6,6
19307,19307,0,1,8190,8190
19308,19308,0,1,6,-6
19309,19309,0,1,-8190,-8190
19310,19310,0,1,6,-6
19311,19311,0,1,8190,8190
19312,19312,0,1,6,6
19313,19313,0,1,-8190,-8190
19314,19314,0,1,6,6
19315,19315,0,1,8190,8190
19316,19316,0,1,6,6
19317,19317,0,1,-8190,-8190
19318,19318,0,1,-6,6
19319,19319,0,1,8190,8190
19320,19320,0,1,6,6
19321,19321,0,1,-8190,-8190
19322,19322,0,1,6,-6
19323,19323,0,1,8190,8190
19324,19324,0,1,-6,6
19325,19325,0,1,-8190,-8190
19326,19326,0,1,-6,6
19327,19327,0,1,8190,8190
19328,19328,0,1,-6,-6
19329,19329,0,1,-8190,-8190
19330,19330,0,1,-6,-6
19331,19331,0,1,8190,8190
19332,19332,0,1,-6,-6
19333,19333,0,1,-8190,-8190
19334,19334,0,1,6,-6
19335,19335,0,1,8190,8190
19336,19336,0,1,6,-6
19337,19337,0,1,-8190,-8190
19338,19338,0,1,-6,6
19339,19339,0,1,8190,8190
19340,19340,0,1,-6,6
19341,19341,0,1,-8190,-8190
19342,19342,0,1,-6,-6
19343,19343,0,1,8190,8190
19344,19344,0,1,6,-6
19345,19345,0,1,-8190,-8190
19346,19346,0,1,-6,-6
19347,19347,0,1,8190,8190
19348,19348,0,1,6,6
19349,19349,0,1,-8190,-8190
19350,19350,0,1,-6,-6
19351,19351,0,1,8190,8190
19352,19352,0,1,6,6
19353,19353,0,1,-8190,-8190
19354,19354,0,1,-6,-6
19355,19355,0,1,8190,8190
19356,19356,0,1,6,6
19357,19357,0,1,-8190,-8190
19358,19358,0,1,-6,-6
19359,19359,0,1,8190,8190
19360,19360,0,1,6,6
19361,19361,0,1,-8190,-8190
19362,19362,0,1,6,-6
19363,19363,0,1,8190,8190
19364,19364,0,1,-6,6
19365,19365,0,1,-8190,-8190
19366,19366,0,1,6,6
19367,19367,0,1,8190,8190
19368,19368,0,1,-6,-6
19369,19369,0,1,-8190,-8190
19370,19370,0,1,6,6
19371,19371,0,1,8190,8190
19372,19372,0,1,6,-6
19373,19373,0,1,-8190,-8190
19374,19374,0,1,-6,6
19375,19375,0,1,8190,8190
19376,19376,0,1,-6,6
19377,19377,0,1,-8190,-8190
19378,19378,0,1,6,-6
19379,19379,0,1,8190,8190
19380,19380,0,1,-6,-6
19381,19381,0,1,-8190,-8190
19382,19382,0,1,6,6
19383,19383,0,1,8190,8190
19384,19384,0,1,6,-6
19385,19385,0,1,-8190,-8190
19386,19386,0,1,-6,6
19387,19387,0,1,8190,8190
19388,19388,0,1,6,6
19389,19389,0,1,-8190,-8190
19390,19390,0,1,-6,-6
19391,19391,0,1,8190,8190
19392,19392,0,1,-6,6
19393,19393,0,1,-8190,-8190
19394,19394,0,1,-6,-6
19395,19395,0,1,8190,8190
19396,19396,0,1,6,-6
19397,19397,0,1,-8190,-8190
19398,19398,0,1,6,-6
19399,19399,0,1,8190,8190
19400,19400,0,1,6,6
19401,19401,0,1,-8190,-8190
19402,19402,0,1,6,6
19403,19403,0,1,8190,8190
19404,19404,0,1,-6,6
19405,19405,0,1,-8190,-8190
19406,19406,0,1,-6,6
19407,19407,0,1,8190,8190
19408,19408,0,1,6,-6
19409,19409,0,1,-8190,-8190
19410,19410,0,1,-6,-6
19411,19411,0,1,8190,8190
19412,19412,0,1,-6,6
19413,19413,0,1,-8190,-8190
19414,19414,0,1,6,-6
19415,19415,0,1,8190,8190
19416,19416,0,1,-6,-6
19417,19417,0,1,-8190,-8190
19418,19418,0,1,6,6
19419,19419,0,1,8190,8190
19420,19420,0,1,6,-6
19421,19421,0,1,-8190,-8190
19422,19422,0,1,-6,6
19423,19423,0,1,8190,8190
19424,19424,0,1,6,6
19425,19425,0,1,-8190,-8190
19426,19426,0,1,6,-6
19427,19427,0,1,8190,8190
19428,19428,0,1,-6,6
19429,19429,0,1,-8190,-8190
19430,19430,0,1,-6,6
19431,19431,0,1,8190,8190
19432,19432,0,1,-6,-6
19433,19433,0,1,-8190,-8190
19434,19434,0,1,6,-6
19435,19435,0,1,8190,8190
19436,19436,0,1,-6,-6
19437,19437,0,1,-8190,-8190
19438,19438,0,1,6,6
19439,19439,0,1,8190,8190
19440,19440,0,1,-6,-6
19441,19441,0,1,-8190,-8190
19442,19442,0,1,-6,6
19443,19443,0,1,8190,8190
19444,19444,0,1,6,-6
19445,19445,0,1,-8190,-8190
19446,19446,0,1,-6,-6
19447,19447,0,1,8190,8190
19448,19448,0,1,-6,6
19449,19449,0,1,-8190,-8190
19450,19450,0,1,6,-6
19451,19451,0,1,8190,8190
19452,19452,0,1,-6,-6
19453,19453,0,1,-8190,-8190
19454,19454,0,1,-6,6
19455,19455,0,1,8190,8190
19456,19456,0,1,6,-6
19457,19457,0,1,-8190,-8190
19458,19458,0,1,-6,-6
19459,19459,0,1,8190,8190
19460,19460,0,1,6,6
19461,19461,0,1,-8190,-8190
19462,19462,0,1,6,-6
19463,19463,0,1,8190,8190
19464,19464,0,1,-6,6
19465,19465,0,1,-8190,-8190
19466,19466,0,1,-6,6
19467,19467,0,1,8190,8190
19468,19468,0,1,6,-6
19469,19469,0,1,-8190,-8190
19470,19470,0,1,-6,-6
19471,19471,0,1,8190,8190
19472,19472,0,1,6,6
19473,19473,0,1,-8190,-8190
19474,19474,0,1,6,-6
19475,19475,0,1,8190,8190
19476,19476,0,1,6,6
19477,19477,0,1,-8190,-8190
19478,19478,0,1,-6,6
19479,19479,0,1,8190,8190
19480,19480,0,1,-6,6
19481,19481,0,1,-8190,-8190
19482,19482,0,1,-6,-6
19483,19483,0,1,8190,8190
19484,19484,0,1,6,-6
19485,19485,0,1,-8190,-8190
19486,19486,0,1,-6,-6
19487,19487,0,1,8190,8190
19488,19488,0,1,6,6
19489,19489,0,1,-8190,-8190
19490,19490,0,1,-6,-6
19491,19491,0,1,8190,8190
19492,19492,0,1,6,6
19493,19493,0,1,-8190,-8190
19494,19494,0,1,-6,-6
19495,19495,0,1,8190,8190
19496,19496,0,1,6,6
19497,19497,0,1,-8190,-8190
19498,19498,0,1,6,-6
19499,19499,0,1,8190,8190
19500,19500,0,1,6,6
19501,19501,0,1,-8190,-8190
19502,19502,0,1,6,6
19503,19503,0,1,8190,8190
19504,19504,0,1,6,6
19505,19505,0,1,-8190,-8190
19506,19506,0,1,6,6
19507,19507,0,1,8190,8190
19508,19508,0,1,6,6
19509,19509,0,1,-8190,-8190
19510,19510,0,1,6,6
19511,19511,0,1,8190,8190
19512,19512,0,1,6,6
19513,19513,0,1,-8190,-8190
19514,19514,0,1,6,6
19515,19515,0,1,8190,8190
19516,19516,0,1,-6,6
19517,19517,0,1,-8190,-8190
19518,19518,0,1,6,6
19519,19519,0,1,8190,8190
19520,19520,0,1,-6,-6
19521,19521,0,1,-8190,-8190
19522,19522,0,1,6,6
19523,19523,0,1,8190,8190
19524,19524,0,1,6,-6
19525,19525,0,1,-8190,-8190
19526,19526,0,1,6,6
19527,19527,0,1,8190,8190
19528,19528,0,1,6,6
19529,19529,0,1,-8190,-8190
19530,19530,0,1,6,6
19531,19531,0,1,8190,8190
19532,19532,0,1,-6,6
19533,19533,0,1,-8190,-8190
19534,19534,0,1,-6,6
19535,19535,0,1,8190,8190
19536,19536,0,1,-6,-6
19537,19537,0,1,-8190,-8190
19538,19538,0,1,6,-6
19539,19539,0,1,8190,8190
19540,19540,0,1,6,-6
19541,19541,0,1,-8190,-8190
19542,19542,0,1,-6,6
19543,19543,0,1,8190,8190
19544,19544,0,1,6,6
19545,19545,0,1,-8190,-8190
19546,19546,0,1,6,-6
19547,19547,0,1,8190,8190
19548,19548,0,1,-6,6
19549,19549,0,1,-8190,-8190
19550,19550,0,1,6,6
19551,19551,0,1,8190,8190
19552,19552,0,1,6,-6
19553,19553,0,1,-8190,-8190
19554,19554,0,1,6,6
19555,19555,0,1,8190,8190
19556,19556,0,1,6,6
19557,19557,0,1,-8190,-8190
19558,19558,0,1,6,6
19559,19559,0,1,8190,8190
19560,19560,0,1,-6,6
19561,19561,0,1,-8190,-8190
19562,19562,0,1,6,6
19563,19563,0,1,8190,8190
19564,19564,0,1,6,-6
19565,19565,0,1,-8190,-8190
19566,19566,0,1,-6,6
19567,19567,0,1,8190,8190
19568,19568,0,1,6,6
19569,19569,0,1,-8190,-8190
19570,19570,0,1,-6,-6
19571,19571,0,1,8190,8190
19572,19572,0,1,-6,6
19573,19573,0,1,-8190,-8190
19574,19574,0,1,6,-6
19575,19575,0,1,8190,8190
19576,19576,0,1,-6,-6
19577,19577,0,1,-8190,-8190
19578,19578,0,1,6,6
19579,19579,0,1,8190,8190
19580,19580,0,1,6,-6
19581,19581,0,1,-8190,-8190
19582,19582,0,1,-6,6
19583,19583,0,1,8190,8190
19584,19584,0,1,-6,6
19585,19585,0,1,-8190,-8190
19586,19586,0,1,-6,-6
19587,19587,0,1,8190,8190
19588,19588,0,1,6,-6
19589,19589,0,1,-8190,-8190
19590,19590,0,1,-6,-6
19591,19591,0,1,8190,8190
19592,19592,0,1,-6,6
19593,19593,0,1,-8190,-8190
19594,19594,0,1,6,-6
19595,19595,0,1,8190,8190
19596,19596,0,1,6,-6
19597,19597,0,1,-8190,-8190
19598,19598,0,1,6,6
19599,19599,0,1,8190,8190
19600,19600,0,1,-6,6
19601,19601,0,1,-8190,-8190
19602,19602,0,1,6,6
19603,19603,0,1,8190,8190
19604,19604,0,1,-6,-6
19605,19605,0,1,-8190,-8190
19606,19606,0,1,6,6
19607,19607,0,1,8190,8190
19608,19608,0,1,6,-6
19609,19609,0,1,-8190,-8190
19610,19610,0,1,6,6
19611,19611,0,1,8190,8190
19612,19612,0,1,-6,6
19613,19613,0,1,-8190,-8190
19614,19614,0,1,6,6
19615,19615,0,1,8190,8190
19616,19616,0,1,6,-6
19617,19617,0,1,-8190,-8190
19618,19618,0,1,-6,6
19619,19619,0,1,8190,8190
19620,19620,0,1,6,6
19621,19621,0,1,-8190,-8190
19622,19622,0,1,-6,-6
19623,19623,0,1,8190,8190
19624,19624,0,1,6,6
19625,19625,0,1,-8190,-8190
19626,19626,0,1,6,-6
19627,19627,0,1,8190,8190
19628,19628,0,1,6,6
19629,19629,0,1,-8190,-8190
19630,19630,0,1,6,6
19631,19631,0,1,8190,8190
19632,19632,0,1,6,6
19633,19633,0,1,-8190,-8190
19634,19634,0,1,-6,6
19635,19635,0,1,8190,8190
19636,19636,0,1,-6,6
19637,19637,0,1,-8190,-8190
19638,19638,0,1,-6,-6
19639,19639,0,1,8190,8190
19640,19640,0,1,6,-6
19641,19641,0,1,-8190,-8190
19642,19642,0,1,-6,-6
19643,19643,0,1,8190,8190
19644,19644,0,1,6,6
19645,19645,0,1,-8190,-8190
19646,19646,0,1,-6,-6
19647,19647,0,1,8190,8190
19648,19648,0,1,6,6
19649,19649,0,1,-8190,-8190
19650,19650,0,1,6,-6
19651,19651,0,1,8190,8190
19652,19652,0,1,-6,6
19653,19653,0,1,-8190,-8190
19654,19654,0,1,-6,6
19655,19655,0,1,8190,8190
19656,19656,0,1,-6,-6
19657,19657,0,1,-8190,-8190
19658,19658,0,1,6,-6
19659,19659,0,1,8190,8190
19660,19660,0,1,6,-6
19661,19661,0,1,-8190,-8190
19662,19662,0,1,-6,6
19663,19663,0,1,8190,8190
19664,19664,0,1,6,6
19665,19665,0,1,-8190,-8190
19666,19666,0,1,-6,-6
19667,19667,0,1,8190,8190
19668,19668,0,1,-6,6
19669,19669,0,1,-8190,-8190
19670,19670,0,1,-6,-6
19671,19671,0,1,8190,8190
19672,19672,0,1,-6,-6
19673,19673,0,1,-8190,-8190
19674,19674,0,1,-6,-6
19675,19675,0,1,8190,8190
19676,19676,0,1,-6,-6
19677,19677,0,1,-8190,-8190
19678,19678,0,1,-6,-6
19679,19679,0,1,8190,8190
19680,19680,0,1,-6,-6
19681,19681,0,1,-8190,-8190
19682,19682,0,1,6,-6
19683,19683,0,1,8190,8190
19684,19684,0,1,6,-6
19685,19685,0,1,-8190,-8190
19686,19686,0,1,6,6
19687,19687,0,1,8190,8190
19688,19688,0,1,6,6
19689,19689,0,1,-8190,-8190
19690,19690,0,1,6,6
19691,19691,0,1,8190,8190
19692,19692,0,1,6,6
19693,19693,0,1,-8190,-8190
19694,19694,0,1,6,6
19695,19695,0,1,8190,8190
19696,19696,0,1,-6,6
19697,19697,0,1,-8190,-8190
19698,19698,0,1,6,6
19699,19699,0,1,8190,8190
19700,19700,0,1,6,-6
19701,19701,0,1,-8190,-8190
19702,19702,0,1,6,6
19703,19703,0,1,8190,8190
19704,19704,0,1,6,6
19705,19705,0,1,-8190,-8190
19706,19706,0,1,-6,6
19707,19707,0,1,8190,8190
19708,19708,0,1,-6,6
19709,19709,0,1,-8190,-8190
19710,19710,0,1,6,-6
19711,19711,0,1,8190,8190
19712,19712,0,1,6,-6
19713,19713,0,1,-8190,-8190
19714,19714,0,1,6,6
19715,19715,0,1,8190,8190
19716,19716,0,1,-6,6
19717,19717,0,1,-8190,-8190
19718,19718,0,1,6,6
19719,19719,0,1,8190,8190
19720,19720,0,1,6,-6
19721,19721,0,1,-8190,-8190
19722,19722,0,1,-6,6
19723,19723,0,1,8190,8190
19724,19724,0,1,-6,6
19725,19725,0,1,-8190,-8190
19726,19726,0,1,-6,-6
19727,19727,0,1,8190,8190
19728,19728,0,1,-6,-6
19729,19729,0,1,-8190,-8190
19730,19730,0,1,6,-6
19731,19731,0,1,8190,8190
19732,19732,0,1,-6,-6
19733,19733,0,1,-8190,-8190
19734,19734,0,1,6,6
19735,19735,0,1,8190,8190
19736,19736,0,1,6,-6
19737,19737,0,1,-8190,-8190
19738,19738,0,1,-6,6
19739,19739,0,1,8190,8190
19740,19740,0,1,-6,6
19741,19741,0,1,-8190,-8190
19742,19742,0,1,6,-6
19743,19743,0,1,8190,8190
19744,19744,0,1,-6,-6
19745,19745,0,1,-8190,-8190
19746,19746,0,1,6,6
19747,19747,0,1,8190,8190
19748,19748,0,1,-6,-6
19749,19749,0,1,-8190,-8190
19750,19750,0,1,-6,6
19751,19751,0,1,8190,8190
19752,19752,0,1,6,-6
19753,19753,0,1,-8190,-8190
19754,19754,0,1,6,-6
19755,19755,0,1,8190,8190
19756,19756,0,1,-6,6
19757,19757,0,1,-8190,-8190
19758,19758,0,1,-6,6
19759,19759,0,1,8190,8190
19760,19760,0,1,-6,-6
19761,19761,0,1,-8190,-8190
19762,19762,0,1,-6,-6
19763,19763,0,1,8190,8190
19764,19764,0,1,-6,-6
19765,19765,0,1,-8190,-8190
19766,19766,0,1,6,-6
19767,19767,0,1,8190,8190
19768,19768,0,1,-6,-6
19769,19769,0,1,-8190,-8190
19770,19770,0,1,-6,6
19771,19771,0,1,8190,8190
19772,19772,0,1,6,-6
19773,19773,0,1,-8190,-8190
19774,19774,0,1,6,-6
19775,19775,0,1,8190,8190
19776,19776,0,1,-6,6
19777,19777,0,1,-8190,-8190
19778,19778,0,1,-6,6
19779,19779,0,1,8190,8190
19780,19780,0,1,-6,-6
19781,19781,0,1,-8190,-8190
19782,19782,0,1,-6,-6
19783,19783,0,1,8190,8190
19784,19784,0,1,6,-6
19785,19785,0,1,-8190,-8190
19786,19786,0,1,-6,-6
19787,19787,0,1,8190,8190
19788,19788,0,1,-6,6
19789,19789,0,1,-8190,-8190
19790,19790,0,1,-6,-6
19791,19791,0,1,8190,8190
19792,19792,0,1,-6,-6
19793,19793,0,1,-8190,-8190
19794,19794,0,1,6,-6
19795,19795,0,1,8190,8190
19796,19796,0,1,-6,-6
19797,19797,0,1,-8190,-8190
19798,19798,0,1,6,6
19799,19799,0,1,8190,8190
19800,19800,0,1,6,-6
19801,19801,0,1,-8190,-8190
19802,19802,0,1,6,6
19803,19803,0,1,8190,8190
19804,19804,0,1,6,6
19805,19805,0,1,-8190,-8190
19806,19806,0,1,6,6
19807,19807,0,1,8190,8190
19808,19808,0,1,-6,6
19809,19809,0,1,-8190,-8190
19810,19810,0,1,6,6
19811,19811,0,1,8190,8190
19812,19812,0,1,6,-6
19813,19813,0,1,-8190,-8190
19814,19814,0,1,6,6
19815,19815,0,1,8190,8190
19816,19816,0,1,6,6
19817,19817,0,1,-8190,-8190
19818,19818,0,1,6,6
19819,19819,0,1,8190,8190
19820,19820,0,1,6,6
19821,19821,0,1,-8190,-8190
19822,19822,0,1,-6,6
19823,19823,0,1,8190,8190
19824,19824,0,1,6,6
19825,19825,0,1,-8190,-8190
19826,19826,0,1,6,-6
19827,19827,0,1,8190,8190
19828,19828,0,1,-6,6
19829,19829,0,1,-8190,-8190
19830,19830,0,1,6,6
19831,19831,0,1,8190,8190
19832,19832,0,1,-6,-6
19833,19833,0,1,-8190,-8190
19834,19834,0,1,6,6
19835,19835,0,1,8190,8190
19836,19836,0,1,6,-6
19837,19837,0,1,-8190,-8190
19838,19838,0,1,6,6
19839,19839,0,1,8190,8190
19840,19840,0,1,6,6
19841,19841,0,1,-8190,-8190
19842,19842,0,1,-6,6
19843,19843,0,1,8190,8190
19844,19844,0,1,-6,6
19845,19845,0,1,-8190,-8190
19846,19846,0,1,-6,-6
19847,19847,0,1,8190,8190
19848,19848,0,1,6,-6
19849,19849,0,1,-8190,-8190
19850,19850,0,1,6,-6
19851,19851,0,1,8190,8190
19852,19852,0,1,6,6
19853,19853,0,1,-8190,-8190
19854,19854,0,1,-6,6
19855,19855,0,1,8190,8190
19856,19856,0,1,6,6
19857,19857,0,1,-8190,-8190
19858,19858,0,1,6,-6
19859,19859,0,1,8190,8190
19860,19860,0,1,-6,6
19861,19861,0,1,-8190,-8190
19862,19862,0,1,6,6
19863,19863,0,1,8190,8190
19864,19864,0,1,6,-6
19865,19865,0,1,-8190,-8190
19866,19866,0,1,6,6
19867,19867,0,1,8190,8190
19868,19868,0,1,-6,6
19869,19869,0,1,-8190,-8190
19870,19870,0,1,-6,6
19871,19871,0,1,8190,8190
19872,19872,0,1,-6,-6
19873,19873,0,1,-8190,-8190
19874,19874,0,1,-6,-6
19875,19875,0,1,8190,8190
19876,19876,0,1,6,-6
19877,19877,0,1,-8190,-8190
19878,19878,0,1,6,-6
19879,19879,0,1,8190,8190
19880,19880,0,1,6,6
19881,19881,0,1,-8190,-8190
19882,19882,0,1,-6,6
19883,19883,0,1,8190,8190
19884,19884,0,1,-6,6
19885,19885,0,1,-8190,-8190
19886,19886,0,1,-6,-6
19887,19887,0,1,8190,8190
19888,19888,0,1,-6,-6
19889,19889,0,1,-8190,-8190
19890,19890,0,1,6,-6
19891,19891,0,1,8190,8190
19892,19892,0,1,-6,-6
19893,19893,0,1,-8190,-8190
19894,19894,0,1,-6,6
19895,19895,0,1,8190,8190
19896,19896,0,1,-6,-6
19897,19897,0,1,-8190,-8190
19898,19898,0,1,-6,-6
19899,19899,0,1,8190,8190
19900,19900,0,1,6,-6
19901,19901,0,1,-8190,-8190
19902,19902,0,1,6,-6
19903,19903,0,1,8190,8190
19904,19904,0,1,-6,6
19905,19905,0,1,-8190,-8190
19906,19906,0,1,-6,6
19907,19907,0,1,8190,8190
19908,19908,0,1,6,-6
19909,19909,0,1,-8190,-8190
19910,19910,0,1,-6,-6
19911,19911,0,1,8190,8190
19912,19912,0,1,6,6
19913,19913,0,1,-8190,-8190
19914,19914,0,1,6,-6
19915,19915,0,1,8190,8190
19916,19916,0,1,-6,6
19917,19917,0,1,-8190,-8190
19918,19918,0,1,6,6
19919,19919,0,1,8190,8190
19920,19920,0,1,6,-6
19921,19921,0,1,-8190,-8190
19922,19922,0,1,6,6
19923,19923,0,1,8190,8190
19924,19924,0,1,6,6
19925,19925,0,1,-8190,-8190
19926,19926,0,1,-6,6
19927,19927,0,1,8190,8190
19928,19928,0,1,6,6
19929,19929,0,1,-8190,-8190
19930,19930,0,1,-6,-6
19931,19931,0,1,8190,8190
19932,19932,0,1,6,6
19933,19933,0,1,-8190,-8190
19934,19934,0,1,6,-6
19935,19935,0,1,8190,8190
19936,19936,0,1,-6,6
19937,19937,0,1,-8190,-8190
19938,19938,0,1,6,6
19939,19939,0,1,8190,8190
19940,19940,0,1,-6,-6
19941,19941,0,1,-8190,-8190
19942,19942,0,1,6,6
19943,19943,0,1,8190,8190
19944,19944,0,1,6,-6
19945,19945,0,1,-8190,-8190
19946,19946,0,1,-6,6
19947,19947,0,1,8190,8190
19948,19948,0,1,-6,6
19949,19949,0,1,-8190,-8190
19950,19950,0,1,-6,-6
19951,19951,0,1,8190,8190
19952,19952,0,1,6,-6
19953,19953,0,1,-8190,-8190
19954,19954,0,1,-6,-6
19955,19955,0,1,8190,8190
19956,19956,0,1,6,6
19957,19957,0,1,-8190,-8190
19958,19958,0,1,6,-6
19959,19959,0,1,8190,8190
19960,19960,0,1,6,6
19961,19961,0,1,-8190,-8190
19962,19962,0,1,-6,6
19963,19963,0,1,8190,8190
19964,19964,0,1,-6,6
19965,19965,0,1,-8190,-8190
19966,19966,0,1,6,-6
19967,19967,0,1,8190,8190
19968,19968,0,1,-6,-6
19969,19969,0,1,-8190,-8190
19970,19970,0,1,-6,6
19971,19971,0,1,8190,8190
19972,19972,0,1,-6,-6
19973,19973,0,1,-8190,-8190
19974,19974,0,1,6,-6
19975,19975,0,1,8190,8190
19976,19976,0,1,-6,-6
19977,19977,0,1,-8190,-8190
19978,19978,0,1,6,6
19979,19979,0,1,8190,8190
19980,19980,0,1,6,-6
19981,19981,0,1,-8190,-8190
19982,19982,0,1,6,6
19983,19983,0,1,8190,8190
19984,19984,0,1,-6,6
19985,19985,0,1,-8190,-8190
19986,19986,0,1,6,6
19987,19987,0,1,8190,8190
19988,19988,0,1,6,-6
19989,19989,0,1,-8190,-8190
19990,19990,0,1,6,6
19991,19991,0,1,8190,8190
19992,19992,0,1,6,6
19993,19993,0,1,-8190,-8190
19994,19994,0,1,-6,6
19995,19995,0,1,8190,8190
19996,19996,0,1,-6,6
19997,19997,0,1,-8190,-8190
19998,19998,0,1,6,-6
19999,19999,0,1,8190,8190
20000,20000,0,1,6,-6
20001,20001,0,1,-8190,-8190
20002,20002,0,1,6,6
20003,20003,0,1,8190,8190
20004,20004,0,1,-6,6
20005,20005,0,1,-8190,-8190
20006,20006,0,1,-6,6
20007,20007,0,1,8190,8190
20008,20008,0,1,-6,-6
20009,20009,0,1,-8190,-8190
20010,20010,0,1,-6,-6
20011,20011,0,1,8190,8190
20012,20012,0,1,6,-6
20013,20013,0,1,-8190,-8190
20014,20014,0,1,-6,-6
20015,20015,0,1,8190,8190
20016,20016,0,1,-6,6
20017,20017,0,1,-8190,-8190
20018,20018,0,1,6,-6
20019,20019,0,1,8190,8190
20020,20020,0,1,-6,-6
20021,20021,0,1,-8190,-8190
20022,20022,0,1,-6,6
20023,20023,0,1,8190,8190
20024,20024,0,1,-6,-6
20025,20025,0,1,-8190,-8190
20026,20026,0,1,-6,-6
20027,20027,0,1,8190,8190
20028,20028,0,1,-6,-6
20029,20029,0,1,-8190,-8190
20030,20030,0,1,-6,-6
20031,20031,0,1,8190,8190
20032,20032,0,1,6,-6
20033,20033,0,1,-8190,-8190
20034,20034,0,1,6,-6
20035,20035,0,1,8190,8190
20036,20036,0,1,-6,6
20037,20037,0,1,-8190,-8190
20038,20038,0,1,-6,6
20039,20039,0,1,8190,8190
20040,20040,0,1,-6,-6
20041,20041,0,1,-8190,-8190
20042,20042,0,1,-6,-6
20043,20043,0,1,8190,8190
20044,20044,0,1,-6,-6
20045,20045,0,1,-8190,-8190
20046,20046,0,1,-6,-6
20047,20047,0,1,8190,8190
20048,20048,0,1,6,-6
20049,20049,0,1,-8190,-8190
20050,20050,0,1,6,-6
20051,20051,0,1,8190,8190
20052,20052,0,1,6,6
20053,20053,0,1,-8190,-8190
20054,20054,0,1,-6,6
20055,20055,0,1,8190,8190
20056,20056,0,1,-6,6
20057,20057,0,1,-8190,-8190
20058,20058,0,1,6,-6
20059,20059,0,1,8190,8190
20060,20060,0,1,-6,-6
20061,20061,0,1,-8190,-8190
20062,20062,0,1,-6,6
20063,20063,0,1,8190,8190
20064,20064,0,1,-6,-6
20065,20065,0,1,-8190,-8190
20066,20066,0,1,6,-6
20067,20067,0,1,8190,8190
20068,20068,0,1,6,-6
20069,20069,0,1,-8190,-8190
20070,20070,0,1,-6,6
20071,20071,0,1,8190,8190
20072,20072,0,1,-6,6
20073,20073,0,1,-8190,-8190
20074,20074,0,1,6,-6
20075,20075,0,1,8190,8190
20076,20076,0,1,-6,-6
20077,20077,0,1,-8190,-8190
20078,20078,0,1,6,6
20079,20079,0,1,8190,8190
20080,20080,0,1,-6,-6
20081,20081,0,1,-8190,-8190
20082,20082,0,1,6,6
20083,20083,0,1,8190,8190
20084,20084,0,1,-6,-6
20085,20085,0,1,-8190,-8190
20086,20086,0,1,6,6
20087,20087,0,1,8190,8190
20088,20088,0,1,6,-6
20089,20089,0,1,-8190,-8190
20090,20090,0,1,-6,6
20091,20091,0,1,8190,8190
20092,20092,0,1,-6,6
20093,20093,0,1,-8190,-8190
20094,20094,0,1,6,-6
20095,20095,0,1,8190,8190
20096,20096,0,1,-6,-6
20097,20097,0,1,-8190,-8190
20098,20098,0,1,6,6
20099,20099,0,1,8190,8190
20100,20100,0,1,6,-6
20101,20101,0,1,-8190,-8190
20102,20102,0,1,-6,6
20103,20103,0,1,8190,8190
20104,20104,0,1,6,6
20105,20105,0,1,-8190,-8190
20106,20106,0,1,-6,-6
20107,20107,0,1,8190,8190
20108,20108,0,1,6,6
20109,20109,0,1,-8190,-8190
20110,20110,0,1,6,-6
20111,20111,0,1,8190,8190
20112,20112,0,1,-6,6
20113,20113,0,1,-8190,-8190
20114,20114,0,1,6,6
20115,20115,0,1,8190,8190
20116,20116,0,1,6,-6
20117,20117,0,1,-8190,-8190
20118,20118,0,1,6,6
20119,20119,0,1,8190,8190
20120,20120,0,1,-6,6
20121,20121,0,1,-8190,-8190
20122,20122,0,1,-6,6
20123,20123,0,1,8190,8190
20124,20124,0,1,-6,-6
20125,20125,0,1,-8190,-8190
20126,20126,0,1,6,-6
20127,20127,0,1,8190,8190
20128,20128,0,1,6,-6
20129,20129,0,1,-8190,-8190
20130,20130,0,1,-6,6
20131,20131,0,1,8190,8190
20132,20132,0,1,6,6
20133,20133,0,1,-8190,-8190
20134,20134,0,1,6,-6
20135,20135,0,1,8190,8190
20136,20136,0,1,-6,6
20137,20137,0,1,-8190,-8190
20138,20138,0,1,6,6
20139,20139,0,1,8190,8190
20140,20140,0,1,-6,-6
20141,20141,0,1,-8190,-8190
20142,20142,0,1,-6,6
20143,20143,0,1,8190,8190
20144,20144,0,1,-6,-6
20145,20145,0,1,-8190,-8190
20146,20146,0,1,6,-6
20147,20147,0,1,8190,8190
20148,20148,0,1,6,-6
20149,20149,0,1,-8190,-8190
20150,20150,0,1,6,6
20151,20151,0,1,8190,8190
20152,20152,0,1,6,6
20153,20153,0,1,-8190,-8190
20154,20154,0,1,-6,6
20155,20155,0,1,8190,8190
20156,20156,0,1,-6,6
20157,20157,0,1,-8190,-8190
20158,20158,0,1,6,-6
20159,20159,0,1,8190,8190
20160,20160,0,1,6,-6
20161,20161,0,1,-8190,-8190
20162,20162,0,1,-6,6
